CustomerContactId;status code;status name;details;milliseconds spent
1239643;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 22047 with a balance of 0.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 22047 with a balance of 0.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"1,7359"
1239670;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 22057 with a balance of 0.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 22057 with a balance of 0.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,0912"
1239676;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 22060 with a balance of 0.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 22060 with a balance of 0.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"3,0516"
1239691;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 22066 with a balance of 0.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 22066 with a balance of 0.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,7481"
1239698;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 22068 with a balance of 294.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 22068 with a balance of 294.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"3,1789"
1243055;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 22800 with a balance of 95.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 22800 with a balance of 95.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"3,5225"
1243373;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 22943 with a balance of 450.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 22943 with a balance of 450.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"1,8875"
1243386;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 22951 with a balance of 369.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 22951 with a balance of 369.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,0702"
1243391;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 22956 with a balance of 5535.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 22956 with a balance of 5535.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,3432"
1243394;-5;ContactIsAssociatedWithOrder;"Cannot Anonymize Contact.  Contact is associated with OrderID 22959 with a balance of 394.70
System.Data.SqlClient.SqlError: Cannot Anonymize Contact.  Contact is associated with OrderID 22959 with a balance of 394.70
Anonymization returned code '-5'=ContactIsAssociatedWithOrder";"2,5993"
